[2025-04-19 01:23:57,737] 17 root - INFO - initiate the data ingestion
[2025-04-19 01:23:59,208] 62 root - INFO - Performed train test split on the dataframe
[2025-04-19 01:23:59,208] 63 root - INFO - Exited the split_data_as_train_test method of data_ingestion class
[2025-04-19 01:23:59,208] 67 root - INFO - Exporting train and test file path.
[2025-04-19 01:23:59,239] 77 root - INFO - exported train and test file path
[2025-04-19 01:23:59,240] 19 root - INFO - Data ingestion Completed!
[2025-04-19 01:23:59,240] 22 root - INFO - Initiate data validation!
[2025-04-19 01:23:59,286] 36 root - INFO - Required number of columns:2
[2025-04-19 01:23:59,286] 37 root - INFO - Dataframe has columns:31
[2025-04-19 01:23:59,286] 36 root - INFO - Required number of columns:2
[2025-04-19 01:23:59,286] 37 root - INFO - Dataframe has columns:31
[2025-04-19 01:23:59,373] 26 root - INFO - Data Validation Completed!
[2025-04-19 01:23:59,373] 29 root - INFO - Initiate transformation!
[2025-04-19 01:23:59,373] 52 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[2025-04-19 01:23:59,373] 55 root - INFO - starting data transformation!
[2025-04-19 01:23:59,392] 38 root - INFO - entered get_data_transformer_object of transformation class
[2025-04-19 01:23:59,393] 42 root - INFO - initialized knnimputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[2025-04-19 01:23:59,401] 45 root - INFO - Entered the save_object method of MainUtils class
[2025-04-19 01:23:59,404] 49 root - INFO - Exited the save_object method of MainUtils class
[2025-04-19 01:23:59,405] 33 root - INFO - Data Transformation Completed!
[2025-04-19 01:23:59,405] 36 root - INFO - Initiate training!
